Q36_What materials are you using?,Q37_How often do you use these materials?,Q38_Do you find these materials more or less helpful than radio lessons?,Q39_Why
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,About the same,No where I can go for lessons
,,,
,,,
,,,
Textbooks,A few times a month,Less,No teaching in school
Study packets,A few times a week,Less,Due to closure of school
,,,
,,,
,,,
,,,
Study packets,A few times a week,Less,They are not distributed to us by SMOGEI
Textbooks,A few times a week,Less,Book are not enough to all the learner's
Textbooks,A few times a month,Less,Some types  of were not brought
Textbooks,A few times a month,Less,Books are collected back by teachers due to colsure of school
,,,
Textbooks,A few times a week,Less,Because of domestic work at home
Study packets,A few times a month,Less,They are not provided to me
Study packets,A few times a month,Less,No time for reading at home because of work load 
Study packets,A few times a week,Less,I don't have textbooks for reading
,,,
,,,
Study packets,A few times a month,Less,School is not working
,,,
Textbooks Study packets,A few times a month,Less,Distribution done in my absent 
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,It's easy to understand
,,,
,,,
,,,
Practice book from school,A few times a week,More,Easy to understand
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,I like reading books
Other (specify),Other (specify),Less,Engaged in other activities
,,,
Textbooks,A few times a week,More,Because of the practical part
Textbooks,A few times a week,More,It is well summarized
Textbooks Study packets,A few times a week,More,It is well summarized
Textbooks,A few times a week,More,It is well summarized
Textbooks,A few times a month,More,It is well summarized
Textbooks Study packets,A few times a week,More,It is well summarized
Textbooks Study packets,A few times a week,More,It is well summarized
Study packets,A few times a week,Less,No teacher to help me
Study packets,A few times a week,Less,No teacher to guide me
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because I like listening
,,,
Practice book from school Textbooks,A few times a week,Less,Beacuse nobody is guiding me.
Textbooks Practice book from school,A few times a month,Less,School are close and nobody is directing me.
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a month,Less,Helpful then radio listen.
,,,
,,,
,,,
Textbooks,A few times a week,More,I like reading
,,,
,,,
Textbooks Other (specify),A few times a week,More,It remind me of my lessons
,,,
Other (specify),Daily,Less,School is much better 
Other (specify),A few times a week,Less,Better education
Other (specify),A few times a week,Less,Just doing for wasting time 
,,,
Other (specify),Daily,Less,The get more knowledge 
Textbooks,A few times a week,Less,It's like school 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,Father have more times.
,,,
Textbooks,A few times a week,More,Because you understand it better
Study packets Textbooks,A few times a week,More,Because it keeps learners remained
Textbooks Study packets,A few times a week,More,Because it's easy to understand
Textbooks Study packets,A few times a week,More,Because it's easy to understand
Textbooks Study packets,A few times a week,More,Because it's easy to understand
Study packets Textbooks,A few times a week,More,Because it's easy to understand
Textbooks Study packets,A few times a week,More,Because it's easy to understand
Textbooks Study packets,A few times a week,More,Because it's easy to understand
Textbooks Study packets,A few times a week,More,Because it helped me to understand
Textbooks Study packets Practice book from school,A few times a week,More,Because I understand it better
Textbooks Study packets,A few times a week,More,Because it's easy to understand
Textbooks Study packets,A few times a week,More,Because it's easy to understand
,,,
Textbooks,A few times a week,Less,Because it's keeps on remained learners
Other (specify),Daily,About the same,Because we get off head 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a month,Less,No time for studying books
Textbooks Study packets Practice book from school,A few times a week,More,Because it easy to understand
,,,
,,,
Textbooks,A few times a week,Less,Because it heard to get radio
Textbooks Study packets Practice book from school,A few times a week,More,It make me understand well
Textbooks Practice book from school Study packets,A few times a week,More,I understand well
,,,
,,,
Textbooks,A few times a week,More,Because am doing everyday
Textbooks,A few times a week,More,Because I can do it myself
,,,
Textbooks Study packets,A few times a week,More,No radio
,,,
,,,
Practice book from school,Daily,Less,No text books 
,,,
Textbooks Practice book from school,Daily,More,Because am not seeing the lessons physically 
,,,
,,,
,,,
Practice book from school Textbooks,A few times a week,More,Enough text materials 
,,,
Practice book from school,A few times a week,More,I don't know about it 
Textbooks Study packets,A few times a week,More,Because it's easy to understand
,,,
Practice book from school Textbooks,A few times a week,More,No time for study at due to domestic work
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Teaching is less in the exercise book 
Practice book from school,A few times a week,Less,Lessons not enough touch 
,,,
Textbooks,A few times a week,More,Always accessible
Textbooks,A few times a week,More,They are always with the school
Textbooks,A few times a week,More,They are always found at school
Textbooks,Daily,More,Because I like reading
Textbooks,A few times a week,More,They are helpful through reading them
Textbooks,A few times a week,More,We have them with at home
Textbooks Practice book from school,A few times a week,More,Because I read together with my colleagues
Textbooks,Daily,More,I prefer reading than listening
,,,
Textbooks,Daily,More,Because they have got more knowledge
Textbooks,Daily,Less,Because am not getting more knowledge
Textbooks,Daily,Less,Because no more knowledge i acquire
Textbooks,Daily,Less,Because less time in doing them
Textbooks,Daily,Less,Because not like lesson on radio
Textbooks,Daily,Less,Because they are not interested like radio lesson
Textbooks,Daily,Less,They aren't like radio lesson
Textbooks,A few times a week,More,Than radio lesson
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a month,More,Texbooks contain details
Textbooks,A few times a month,More,Because you see spelling directly while on radio you don't see spelling of the word
Textbooks,Daily,About the same,Because the all about educational programs
,,,
,,,
Textbooks Practice book from school,A few times a week,Less,Not enough 
,,,
Study packets Other (specify),A few times a week,Less,Because it is difficult to understand on my own unless some body is there to help me
,,,
Study packets,A few times a week,Less,No comment
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Not enough 
,,,
,,,
Practice book from school,A few times a week,Less,Notes not enough 
Practice book from school,A few times a week,Less,No enough notes 
Textbooks Practice book from school,A few times a week,Less,Books are not enough 
,,,
,,,
Practice book from school,A few times a week,Less,Not enough 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Not enough 
,,,
Textbooks Practice book from school,A few times a week,Less,Not enough 
,,,
,,,
Textbooks Practice book from school,A few times a week,Less,Not enough 
Textbooks Practice book from school,A few times a week,Less,Not enough 
,,,
,,,
Textbooks Practice book from school,A few times a week,Less,Not enough 
,,,
Textbooks Practice book from school,A few times a week,Less,Notes not enough 
Textbooks Other (specify),A few times a week,Less,Not enough 
,,,
,,,
,,,
Other (specify),Daily,Less,"it  is not helping  me  to learn,   "
Other (specify),A few times a week,Less,just  normal  work
Textbooks,A few times a week,Less,becuase  the are not  enough for me.
Textbooks,Daily,Less,More activities
Textbooks,A few times a month,More,Because it can help me a lot 
Textbooks,Daily,More,Because it make understand more from it 
Textbooks,Daily,More,Because I have all the text books 
Textbooks,Daily,Less,Because can able to buy them
Textbooks,Daily,More,Because I have textbooks
,,,
Textbooks,Daily,More,Because teachers are hurry some time 
Textbooks,Daily,More,Because I received textbooks and other materials 
,,,
Textbooks,Daily,Less,Because no teacher who can explain more 
Other (specify),A few times a week,Less,Because I may engage with different activities 
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,"Because we don,t ha e radio at home and i found it important to read my books at home"
Textbooks Practice book from school,A few times a week,Less,I found radio lessons are important to me
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because they keep me busy
,,,
,,,
Textbooks Other (specify),Daily,More,Because it keep me remember what was taught in the previous terms
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,Other (specify),Less,It keeps me busy all the time then radio
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),A few times a week,More,Because they are the only materials that can help me.
,,,
,,,
Other (specify),A few times a week,Less,Because it cannot make up to the lessons I used to have in school 
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,Daily,Less,Because they are not sufficient 
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,They become my teacher in absent of school classes
Textbooks,A few times a week,More,These are available materials at school and at home
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,These materials are helpful because there are easy to access
Textbooks,A few times a week,More,I easily get them at school and at home
Textbooks,A few times a week,More,They are helpful because I have all these materials at home
,,,
Textbooks,A few times a week,More,I always found them at home and at school
,,,
Textbooks Practice book from school,A few times a week,More,More helpful because I easily get them on time
Textbooks,A few times a week,Less,I am bored of not having school classes
Textbooks Practice book from school,A few times a week,More,I have some at home and find others at school
Textbooks,A few times a week,More,The are always with me
Textbooks,A few times a week,More,I get them at home and at school
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Because the teachers are not there to help us
,,,
Study packets,A few times a week,Less,Because no one is couching me
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,Daily,Less,We want school to reopen
,,,
Practice book from school,A few times a week,More,Is my school books and physically in my hand
,,,
Practice book from school,A few times a week,More,Radio doesn't give much time
,,,
,,,
Textbooks,Daily,More,I am seeing what I am studying
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,Daily,More,Physically
,,,
,,,
Other (specify),Daily,Less,I can not write
,,,
Textbooks,A few times a week,More,Physically in my hand
Other (specify),Daily,Less,Becouse its use acquire skill
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,It keeps me updated on my work at school
Practice book from school,A few times a week,More,Keep me updated on my school work
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,I do remember what was taught at school
,,,
,,,
Practice book from school,A few times a week,More,It helps me more than nothing to be done
Practice book from school,A few times a week,More,Because it keeps me updated
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,Because it keeps me busy in school work
Practice book from school,A few times a week,More,Keeps updating me on my previous work
Practice book from school,A few times a week,More,Helps to remember the previous work
Practice book from school,A few times a week,More,Because it reminds me of the work done in schools
Textbooks Study packets,A few times a week,About the same,All contents are the same
,,,
Textbooks Practice book from school,A few times a week,More,They are the ones available
Textbooks Study packets,A few times a week,More,Radio lessons not regular
,,,
Textbooks Practice book from school,A few times a week,More,Available all the time
Textbooks Practice book from school,Daily,More,They are practical
Textbooks Practice book from school Study packets,Daily,More,They are easy for me to understand
Textbooks Practice book from school,A few times a week,About the same,No difference
Textbooks Study packets Practice book from school,Daily,More,They are better than staying
Textbooks Study packets Practice book from school,Daily,More,They are easy to understand
Textbooks Study packets,A few times a week,More,Radio is not enough
Textbooks Practice book from school,A few times a week,More,They are with me
Textbooks Practice book from school,Daily,More,They are available
Textbooks Practice book from school,A few times a week,More,They are practical
Practice book from school,A few times a week,More,It keeps me updated and reminds me of things learned
Practice book from school,A few times a week,More,It keeps updating me on what was taught in school
Practice book from school,A few times a week,More,Because it keeps me updated
Practice book from school,A few times a week,More,Because it reminds me of the things I learned in the school
Practice book from school,A few times a week,More,It keeps updating me on the previous work
Practice book from school,A few times a week,More,It keeps updating me on the previous work
,,,
,,,
Textbooks,A few times a week,More,"because  I  used  to read, in textbooks.  and  I don't  understand  any word  I refer   to look  for it in my  dictionary "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school Study packets,A few times a week,More,Because they are more helpful than radio lessons.
,,,
Textbooks Study packets,Daily,More,Radio have only few subject compare to what I study at hom
,,,
Practice book from school,A few times a week,Less,I get more information in radio lessons
Textbooks,A few times a week,More,Because I have no radio at home.
Textbooks,A few times a week,Less,Because I don't have all textbooks
,,,
,,,
Textbooks,A few times a week,More,"I  see  is better  for me, because  I don't  radio  at home such  that  I can listen to."
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,Daily,Less,Because they are not complete because of covid19
Textbooks,Daily,More,Because they are available with me not like radio lesson
Other (specify),Daily,Less,They are interested like radio lesson
Textbooks,Daily,More,Because i get more information
Textbooks,Daily,Less,Because no teacher helped me
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,Daily,Less,Because me only reading
Textbooks,Daily,Less,Because radio give knowledge
Textbooks,A few times a week,Less,I get knowledge in radio
Textbooks,Daily,Less,Because am not getting enough knowledge
Textbooks,Daily,Less,Because they are not like radio lesson
,,,
,,,
,,,
,,,
Textbooks Study packets Practice book from school,A few times a week,More,It is well summarized
Textbooks Study packets Practice book from school,A few times a week,More,Well summarized and so enjoyable
Textbooks Study packets Practice book from school,A few times a week,More,It is well summarized
Textbooks Study packets Practice book from school,A few times a week,More,It is well summarized
Textbooks Practice book from school Study packets,A few times a week,More,It is well summarized
Other (specify),A few times a week,More,Because we can see the notes and read them well
Textbooks Practice book from school,A few times a week,More,It is well summarized
Textbooks Study packets Practice book from school,A few times a week,More,It is well summarized
Textbooks Study packets Practice book from school,A few times a week,More,The is well summarized
Practice book from school Textbooks,A few times a week,More,It is well summarized
Study packets Textbooks Practice book from school,A few times a week,More,It is well summarized
,,,
,,,
,,,
Textbooks,A few times a week,More,Because I am just depending on reading
Textbooks,A few times a week,More,Because I like reading
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,I like reading
,,,
Textbooks Study packets,A few times a week,More,Because it is more helpful than radio lessons.
Textbooks,Daily,More,Because it is easy to understand it.
Textbooks Study packets Other (specify),Daily,More,Because it is more helpful than radio lessons.
,,,
,,,
Practice book from school,A few times a week,More,Easy to understand and physical practical
Textbooks,A few times a week,Less,I'm busy some times
Textbooks,Daily,More,I don't listen to the radio
,,,
,,,
,,,
Practice book from school,A few times a week,More,Because it keeps me reminded on my school work
Practice book from school,A few times a week,More,Because it keeps me updated on my school work
Textbooks,Daily,More,I like reading
Textbooks,A few times a week,More,Because we read together
Textbooks,A few times a week,Less,I will be busy 
Practice book from school,A few times a week,Less,Because I don't understand some subjects
,,,
,,,
,,,
Practice book from school,A few times a week,More,Because the materials keeps me busy and reminds me of the work done in the school
,,,
,,,
Textbooks,A few times a week,About the same,Because I didn't listen to any of radio lessons.
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,I can revise them again
,,,
Practice book from school,A few times a month,More,It remained me about my school
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,The materials are good because it keeps me updated
Textbooks Other (specify),A few times a week,More,Because no radio
Textbooks Other (specify),A few times a week,More,They help me to know more of what I have learned
,,,
Practice book from school,A few times a week,Less,Because the teachers are not around to help me
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,Because it keeps me updated
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,It helps me to remember what was taught in the school
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),A few times a week,About the same,Since Nobradio to follow daily but I believe the same syilabus
,,,
,,,
Textbooks,A few times a week,More,The radio learning is too first
Textbooks Other (specify),A few times a week,More,Radio learning is too fast
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Study packets,A few times a month,More,Few are covered in radio learning
Practice book from school,A few times a month,Less,No one guiding me
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,Is better to listen to radio 
,,,
,,,
Textbooks,A few times a week,More,I do understand  when Reading the text books.
Textbooks,A few times a week,Less,Things I don't know I should get it through radio lessons 
Textbooks,A few times a week,Less,To get more knowledge 
Textbooks,A few times a week,More,Easy than the one in radio.
,,,
Textbooks,A few times a week,More,Radio time is not enough.
Textbooks,A few times a week,More,No difficulties in spelling.
,,,
Textbooks,A few times a week,About the same,The same as in my textbooks 
Textbooks,A few times a week,More,Easy to understand.
Textbooks,Daily,Less,Becouse I am alone 
,,,
,,,
Textbooks,A few times a week,Less,Is better on the radio
,,,
,,,
Practice book from school,A few times a week,More,It keeps updating me on my previous work
Practice book from school,A few times a week,More,It keeps updating me on my previous work
Practice book from school,A few times a week,More,Because it keeps me updated
Practice book from school,A few times a week,More,Because helps me remember my previous work
Practice book from school,A few times a week,More,It reminds me of things taught in school
Practice book from school,A few times a week,More,It keeps me updated
Textbooks Study packets Practice book from school,Daily,More,Radio lessons are not effective
Textbooks Study packets Practice book from school,Daily,More,They are the only ones available
Textbooks Study packets Practice book from school,Daily,More,They are easy and available all time
,,,
Study packets Textbooks Practice book from school,Daily,More,Because I can use them by my self
Textbooks Study packets Practice book from school,Daily,More,Because I can do my work alone
Textbooks Study packets Practice book from school,Daily,More,I understand them and do my work effectively
Textbooks Study packets Practice book from school,Daily,More,They are used any time radio lessons
Practice book from school,A few times a week,More,It is helpful to me
Practice book from school,A few times a week,More,It reminds me of the previous work
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,I get more knowledge than radio
Textbooks,A few times a week,Less,Because am study alone
Textbooks,Daily,Less,Time not enough
Textbooks,Daily,Less,Because i study alone
Textbooks,Daily,Less,Explanation is very fast
Textbooks,Daily,Less,Because i study alone
Textbooks,A few times a week,Less,Because no school
Textbooks,Daily,Less,Because its not like school
Textbooks,Daily,Less,Am not getting more
Other (specify),Daily,More,Because I chairs information with my friends 
Textbooks,Daily,Less,Because I read only s2 s1 s3
Other (specify),A few times a week,More,Because some times I use to chair it with my friends 
Textbooks,A few times a week,More,Because some times teachers are hurry 
Textbooks,Daily,More,Because  chair it with friends 
Textbooks,Daily,More,"Because some times teachers is hurry ,pronunciation "
Textbooks,A few times a week,More,Because I have my textbook 
Textbooks,A few times a week,Less,Because Am reading by my self 
,,,
,,,
,,,
Other (specify),A few times a week,Less,Because of having no school
Textbooks,Daily,Less,No teacher
,,,
,,,
,,,
Textbooks,Daily,Less,Teacher is not there
Textbooks,Daily,Less,Because some time Am alone 
Textbooks,Daily,Less,No teacher
Textbooks,Daily,Less,No teacher 
,,,
Textbooks,A few times a week,Less,Because there is no teacher who can guide me 
Textbooks,A few times a week,Less,Because no teacher 
Textbooks,A few times a week,Less,No teacher 
Textbooks,Daily,Less,Teacher is more better 
Textbooks,A few times a week,More,Because its clear 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,Daily,Less,Because no teacher 
Textbooks,Daily,Less,No teacher 
Textbooks,A few times a week,Less,No teacher
Textbooks,Daily,About the same,Its not clear
Textbooks,Daily,About the same,No teacher 
Textbooks,A few times a week,About the same,No teacher 
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Increases my knowledge
,,,
Practice book from school,Daily,More,Because it increases my knowledge
,,,
Practice book from school,A few times a week,More,Because my friend also show me difficult words
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),A few times a week,Less,because schools are closed 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),A few times a week,Less,because school is closed 
,,,
Other (specify),A few times a week,Less,Because not everyone has a  Radio 
,,,
,,,
Other (specify),A few times a week,More,Because  one can learn 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Study packets,A few times a week,More,It is well summarized.
Study packets,A few times a week,More,It is well summarized.
Practice book from school Other (specify),A few times a week,More,It is well summarized
Practice book from school,A few times a week,More,It is well summarized
Practice book from school,A few times a week,More,To keep me busy
Practice book from school,A few times a week,More,It is well summarized
Practice book from school,A few times a week,More,Well summarized
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,More,It keeps updating me on the previous work
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),A few times a week,More,Reading
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,More,Because I don't listen to the radio
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Because it need no much work like power
Textbooks Practice book from school,A few times a week,Less,Too much work at home cannot allow me to read more
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,They need no aby power and frequency
,,,
Textbooks Study packets,Daily,More,You readand again hear it from radio
Textbooks Practice book from school,A few times a week,Less,Frequency is lost sometime
,,,
Textbooks Practice book from school,A few times a week,More,I believe in books only
Textbooks Practice book from school,A few times a week,More,Reading is good with me all the time
,,,
,,,
Textbooks Practice book from school,A few times a week,More,I like books most
,,,
Textbooks Practice book from school,A few times a week,Less,No time 
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,Daily,More,Easy to understand and difficulties look for the help
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Easy to understand 
Textbooks Practice book from school,A few times a week,More,Easy to understand and physically practice
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,Daily,More,To keep me in tach with my lessons
Practice book from school,A few times a week,More,Because they are always with me
,,,
Practice book from school,A few times a month,Less,I needs someone to clarify something that I do not understand
,,,
,,,
Practice book from school,Other (specify),Less,Because of engagement in workplace 
,,,
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,I can understand better when am reading than on the radio
Practice book from school,A few times a week,More,Reverse previous school work
,,,
Textbooks Practice book from school,A few times a month,More,I get more knowledge when studying  than radio
Textbooks Practice book from school,A few times a month,More,It refreshs my  brain
Textbooks Practice book from school,A few times a month,Less,No one to help me in things that I don't know
,,,
Textbooks Practice book from school,A few times a month,More,I can  make my own timetable
,,,
Textbooks Practice book from school,A few times a week,More,No radio
Textbooks Practice book from school,A few times a month,Less,I don't understand alone
Textbooks,A few times a week,Less,Facilitators guide me but with books no one to help me
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,Daily,More,Because radio lesson is very fast
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Textbooks,A few times a week,Less,because   I have not more  books. 
,,,
Textbooks,A few times a week,Less,"becuase   I have  only  exercises notices, and  not textbooks. "
Other (specify),A few times a week,Less,"lessons, on radio  are, more  useful  than it. but  the problem  I don't  have  radio. "
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Other (specify),A few times a month,Less,I am learning more from radio
Textbooks,A few times a week,More,On a radio I can not hear well and missing some spelling 
Textbooks,A few times a week,More,Becouse I am studying in a physical textbooks 
Other (specify),A few times a week,About the same,To hear the lessons is okay and learning at home is inay too
Textbooks,A few times a week,More,To keep myself concentrating 
Textbooks,A few times a week,More,Becpuse I don't see which is broadcast on radio
Textbooks,A few times a week,More,I can understand better
Textbooks,A few times a week,Less,House duties
,,,
,,,
,,,
,,,
Study packets,Daily,Less,No learning
,,,
,,,
,,,
Textbooks,A few times a week,Less,Due to no text book
Practice book from school,A few times a week,About the same,Because its over radio
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,A few times a week,Less,Because I am using my own exercise books
Textbooks Practice book from school,A few times a month,Less,I have no money to buy more books to read them
Practice book from school,Daily,About the same,I don't have radio at home
,,,
,,,
,,,
,,,
Textbooks Practice book from school,A few times a week,More,Because you see the spelling of the words correctly
,,,
Textbooks Practice book from school,A few times a month,Less,Because reading alone with out teacher is so dfficult
Textbooks Practice book from school,A few times a week,More,In text you read and write but radio only listening
Textbooks,Daily,Less,Because the present of teacher is good
Textbooks,A few times a month,More,Because reading in text books is only one know better
Textbooks Practice book from school,A few times a month,More,Ready in the text books is good to give full details of the words
,,,
,,,
,,,
Textbooks,Daily,Less,Present of teacher is good 
,,,
,,,
Textbooks,Daily,Less,No teacher 
Textbooks Practice book from school,A few times a week,Less,Because no teacher that give instructions
Textbooks Practice book from school,A few times a month,About the same,I understand both 
Textbooks,Daily,Less,Because Am alone 
Textbooks Practice book from school,A few times a week,About the same,Because both give good lessons
Practice book from school,A few times a month,More,Because I didn't listen on radio lesson one day
Textbooks,Daily,Less,Because present of teacher is good 
Practice book from school,A few times a week,More,Because I didn't attend radio lesson one time
,,,
Practice book from school,A few times a week,About the same,Both are good for learning
Textbooks,Daily,More,Is the same to the one of teacher 
Textbooks,Daily,Less,No teaher
Textbooks,A few times a week,Less,Present of teacher is more important 
,,,
,,,
,,,
Textbooks,A few times a week,Less,Present of teacher is very important 
Textbooks,Daily,More,Some body revised for me 
Textbooks,Daily,Less,Present of teacher is good
Textbooks,Daily,Less,Because am alone
Textbooks,Daily,Less,Because they are not like lesson on air
Textbooks,Daily,Less,They are not like radio lesson
Textbooks,Daily,Less,Because its not radio lessons
Textbooks,Daily,Less,They are not like radio lessons
Textbooks,Daily,More,Because better than radio because radio lesson time less
Textbooks,Daily,Less,Time is so short
Textbooks,Daily,Less,Radio lessons have new ideas
,,,
,,,
,,,
,,,
,,,
Textbooks,Daily,Less,They are not like radio lessons
Textbooks,Daily,Less,They are not like radio lessons
Practice book from school Textbooks,Daily,Less,He understand the materials which he is studying at home better than lesson over radio
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
Practice book from school,Daily,More,Because the materials are with me and I get to understand them fully compared to the radio lessons.
Textbooks,A few times a week,More,Because the radio lessons sometimes make one not to understand.
Practice book from school,A few times a week,More,Because they are available with me and some times I study in advance.
Practice book from school,Daily,More,Because they are with me and I can revise them at all times.
Practice book from school,A few times a week,More,Because they are available with me.
Textbooks Practice book from school,Daily,More,Because I revise them at any time.
Practice book from school,A few times a week,More,Because they are with me and I can revise them at any time.
,,,
,,,
,,,
Practice book from school,Daily,More,Because they are available with me and I do revise them most of the times.
Practice book from school,A few times a week,More,Because they available with me.
,,,
,,,
,,,
,,,
,,,
Practice book from school,Daily,More,Because they are with me and aI revise it daily.
,,,
,,,
,,,
Textbooks Practice book from school,Daily,More,Because they are with me and I do revise them frequently.
Textbooks Practice book from school Other (specify),Daily,More,Because one revises them most of the times.
Practice book from school Textbooks Other (specify),A few times a week,More,Because they are available with me and I do revise them at my own time.
,,,
