Gender ,Age,Title,School Type Level,What is the School location,School Category,State
Female,20.0,Learner,Secondary,Rural,IDP School,Central Equatoria
Female,12.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,14.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,25.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,41.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Jonglei
Male,31.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,31.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,34.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,49.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,38.0,Teacher,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,13.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,19.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,51.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,27.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,17.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,14.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,63.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,56.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,49.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
,,,,,,Lakes
Female,19.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,15.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,32.0,Teacher,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,17.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,15.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,14.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,15.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,12.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,18.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,16.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Female,14.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,18.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Female,14.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,16.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,9.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,11.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,12.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,24.0,Teacher,Primary,Rural,Non-IDP School,Warrap
Male,25.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Male,58.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Male,56.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
Male,18.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,26.0,Teacher,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,30.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,17.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,25.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,29.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,43.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,16.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,40.0,Parent/guardian/sibling,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,20.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,26.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,34.0,Teacher,Secondary,Rural,IDP School,Unity
Male,32.0,Parent/guardian/sibling,Secondary,Rural,IDP School,Unity
Female,19.0,Learner,Secondary,Rural,IDP School,Unity
Female,22.0,Learner,Secondary,Rural,IDP School,Unity
Female,16.0,Learner,Primary,Rural,Non-IDP School,Unity
Male,20.0,Learner,Primary,Rural,Non-IDP School,Unity
Male,16.0,Learner,Primary,Rural,Non-IDP School,Unity
Male,19.0,Learner,Primary,Rural,Non-IDP School,Unity
Female,18.0,Learner,Primary,Rural,Non-IDP School,Unity
Female,17.0,Learner,Primary,Rural,Non-IDP School,Unity
Female,20.0,Learner,Primary,Rural,Non-IDP School,Unity
Female,15.0,Learner,Primary,Rural,Non-IDP School,Unity
Female,20.0,Learner,Primary,Rural,Non-IDP School,Unity
Male,18.0,Learner,Primary,Rural,Non-IDP School,Unity
Female,48.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,13.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,32.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,17.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,15.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,15.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,16.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,15.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,15.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,15.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,15.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,15.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,17.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,17.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,10.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,14.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,15.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,17.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,13.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,12.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,37.0,Teacher,Primary,Urban,Non-IDP School,Lakes
Male,25.0,Learner,Primary,Urban,Non-IDP School,Lakes
Male,22.0,Learner,Primary,Urban,Non-IDP School,Lakes
Female,25.0,Learner,Primary,Urban,Non-IDP School,Lakes
Male,30.0,Learner,Primary,Urban,Non-IDP School,Lakes
Male,21.0,Learner,Primary,Urban,Non-IDP School,Lakes
Male,21.0,Learner,Primary,Urban,Non-IDP School,Lakes
Male,21.0,Learner,Primary,Urban,Non-IDP School,Lakes
Male,12.0,Learner,Primary,Urban,Non-IDP School,Lakes
Male,10.0,Learner,Primary,Urban,Non-IDP School,Lakes
Male,11.0,Learner,Primary,Urban,Non-IDP School,Lakes
Male,9.0,Learner,Primary,Urban,Non-IDP School,Lakes
Male,12.0,Learner,Primary,Urban,Non-IDP School,Lakes
Female,18.0,Learner,Primary,Urban,Non-IDP School,Lakes
Female,19.0,Learner,Primary,Urban,Non-IDP School,Lakes
Female,20.0,Learner,Primary,Urban,Non-IDP School,Lakes
Female,20.0,Learner,Primary,Urban,Non-IDP School,Lakes
,,,,,,Lakes
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
Male,27.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,64.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,34.0,Teacher,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,39.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,47.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,18.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,47.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,13.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,55.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,35.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,23.0,Teacher,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,18.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,14.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,15.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Western Equatoria
Male,13.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,14.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,12.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Western Equatoria
Male,11.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Western Equatoria
Male,11.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Western Equatoria
Male,12.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,38.0,Teacher,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,40.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,15.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,13.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,60.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,35.0,Teacher,Primary,Rural,Non-IDP School,Lakes
Male,6.0,Learner,Primary,Rural,Non-IDP School,Lakes
Female,13.0,Learner,Primary,Rural,Non-IDP School,Lakes
Female,25.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Female,24.0,Teacher,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,15.0,Learner,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,35.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Male,18.0,Learner,Primary,Rural,Non-IDP School,Lakes
Male,19.0,Learner,Primary,Rural,Non-IDP School,Lakes
Female,18.0,Learner,Primary,Rural,Non-IDP School,Lakes
Male,17.0,Learner,Primary,Rural,Non-IDP School,Lakes
Female,40.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Male,13.0,Learner,Primary,Rural,Non-IDP School,Lakes
Male,13.0,Learner,Primary,Rural,Non-IDP School,Lakes
Male,11.0,Learner,Primary,Rural,Non-IDP School,Lakes
Female,17.0,Learner,Primary,Rural,Non-IDP School,Lakes
Female,35.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Female,50.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Male,12.0,Learner,Primary,Rural,Non-IDP School,Lakes
Female,35.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Male,17.0,Learner,Primary,Rural,Non-IDP School,Lakes
Male,45.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Male,27.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Lakes
Male,20.0,Learner,Secondary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,19.0,Learner,Secondary,Rural,Non-IDP School,Northern Bahr el Ghazal
,,,,,,Western Bahr el Ghazal
Female,13.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Female,20.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Central Equatoria
Male,43.0,Teacher,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,46.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,15.0,Learner,Primary,Urban,Non-IDP School,Central Equatoria
Male,48.0,Parent/guardian/sibling,ALP,Urban,Non-IDP School,Western Bahr el Ghazal
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
,,,,,,Eastern Equatoria
Male,28.0,Teacher,Primary,Urban,Non-IDP School,Upper Nile State
Female,49.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,11.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,15.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,15.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Male,19.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Male,15.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Male,15.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Male,17.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Male,18.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Male,12.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Male,16.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Male,12.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Female,14.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Male,16.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Male,48.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Equatoria
Female,55.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Equatoria
Female,50.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Equatoria
Female,17.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Female,45.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Equatoria
Male,14.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Female,16.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Female,16.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Male,12.0,Learner,Primary,Urban,Non-IDP School,Western Equatoria
Female,40.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Western Equatoria
Male,29.0,Teacher,Primary,Urban,Non-IDP School,Western Equatoria
Female,17.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,18.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,18.0,Learner,Primary,Rural,Non-IDP School,Warrap
Female,17.0,Learner,Primary,Rural,Non-IDP School,Warrap
,,,,,,Warrap
,,,,,,Warrap
,,,,,,Warrap
,,,,,,Warrap
,,,,,,Warrap
Male,15.0,Learner,Primary,Rural,Non-IDP School,Warrap
Male,32.0,Teacher,Primary,Rural,Non-IDP School,Warrap
Male,42.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Warrap
,,,,,,Lakes
Female,19.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
,,,,,,Upper Nile State
Male,16.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,20.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Male,24.0,Teacher,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,17.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,18.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,18.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,20.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,10.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,8.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,30.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Female,28.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Male,34.0,Teacher,Secondary,Rural,Non-IDP School,Western Equatoria
Female,29.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Female,34.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Female,28.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Female,27.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Female,16.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Female,8.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Western Equatoria
Female,29.0,Teacher,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Western Equatoria
Male,13.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,6.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,17.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,18.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,17.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,15.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,18.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,19.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,18.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,16.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,16.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,18.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,17.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,19.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,42.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,16.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,7.0,Learner,Primary,Rural,IDP School,Western Equatoria
Female,32.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,60.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,25.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,50.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,32.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,30.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,40.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,35.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,45.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,19.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,15.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,12.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Western Equatoria
Female,11.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,13.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,14.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,12.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Western Equatoria
Female,13.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,10.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,40.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,19.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Western Equatoria
Male,48.0,Teacher,Primary,Rural,Non-IDP School,Western Equatoria
Female,11.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Western Equatoria
Female,10.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,11.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,41.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Western Equatoria
Female,15.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,57.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,8.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,15.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,28.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Female,16.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,35.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,36.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,29.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Male,52.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,36.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,48.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,47.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,22.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,32.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Male,35.0,Teacher,Primary,Rural,Non-IDP School,Western Equatoria
Female,32.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,27.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,46.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,38.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,15.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,15.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,56.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,20.0,Learner,Primary,Urban,Non-IDP School,Unity
Male,18.0,Learner,Primary,Urban,Non-IDP School,Unity
Female,20.0,Learner,Primary,Urban,Non-IDP School,Unity
Female,16.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,18.0,Learner,Primary,Urban,Non-IDP School,Unity
Male,18.0,Learner,Primary,Urban,Non-IDP School,Unity
Female,19.0,Learner,Secondary,Urban,Non-IDP School,Western Bahr el Ghazal
Female,16.0,Learner,Primary,Urban,Non-IDP School,Western Bahr el Ghazal
,,,,,,Lakes
Male,16.0,Learner,Primary,Urban,IDP School,Unity
Female,28.0,Learner,Primary,Urban,IDP School,Unity
Female,19.0,Learner,Primary,Urban,IDP School,Unity
Male,20.0,Learner,Primary,Urban,IDP School,Unity
Male,18.0,Learner,Primary,Urban,IDP School,Unity
Male,15.0,Learner,Primary,Urban,IDP School,Unity
Female,15.0,Learner,Primary,Urban,IDP School,Unity
Female,15.0,Learner,Primary,Urban,IDP School,Unity
Male,34.0,Teacher,Primary,Urban,IDP School,Unity
Female,45.0,Parent/guardian/sibling,Primary,Urban,IDP School,Unity
Male,52.0,Parent/guardian/sibling,Primary,Urban,IDP School,Unity
Male,29.0,Teacher,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,51.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,38.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,38.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,40.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,48.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,34.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,60.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,58.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,57.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,15.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,16.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Male,12.0,Learner,Primary,Rural,Non-IDP School,Western Bahr el Ghazal
Female,30.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,12.0,Learner,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,27.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Female,13.0,Learner,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,12.0,Learner,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,35.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,16.0,Learner,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,13.0,Learner,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,30.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,13.0,Learner,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,32.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,13.0,Learner,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,36.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Female,12.0,Learner,Primary,Urban,Non-IDP School,Northern Bahr el Ghazal
Male,48.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Female,31.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Male,24.0,Teacher,Primary,Rural,Non-IDP School,Northern Bahr el Ghazal
Female,34.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,27.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,6.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,30.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Female,25.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
,,,,,,Northern Bahr el Ghazal
Male,13.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,12.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Female,16.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Northern Bahr el Ghazal
Female,52.0,Parent/guardian/sibling,Secondary,Rural,Non-IDP School,Western Equatoria
Female,17.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
,,,,,,Northern Bahr el Ghazal
,,,,,,Northern Bahr el Ghazal
Male,56.0,Teacher,Primary,Rural,Non-IDP School,Lakes
Male,30.0,Learner,Secondary,Rural,Non-IDP School,Northern Bahr el Ghazal
Male,23.0,Learner,Primary,Rural,Non-IDP School,Lakes
,,,,,,Lakes
Male,26.0,Parent/guardian/sibling,Primary,Urban,Non-IDP School,Lakes
Female,13.0,Learner,Primary,Rural,Non-IDP School,Western Equatoria
Male,37.0,Parent/guardian/sibling,Primary,Rural,Non-IDP School,Western Equatoria
Female,34.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Male,36.0,Parent/guardian/sibling,Secondary,Rural,Non-IDP School,Western Equatoria
Male,38.0,Parent/guardian/sibling,Secondary,Rural,Non-IDP School,Western Equatoria
Female,32.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Female,31.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Male,48.0,Parent/guardian/sibling,Secondary,Rural,Non-IDP School,Western Equatoria
Male,36.0,Parent/guardian/sibling,Secondary,Rural,Non-IDP School,Western Equatoria
Female,29.0,Learner,Secondary,Rural,Non-IDP School,Western Equatoria
Male,42.0,Parent/guardian/sibling,Secondary,Rural,Non-IDP School,Western Equatoria
