"Q61_When schools re-open, do you think your school will have measures in place to ensure a safe learning environment?",Q62_Why or why not?,Q63_What are your concerns about returning to school?
No,No hand washing faility and face masks,Corona virus infection will increase
No,I don't know,Corona virus infection fear
No,I don't know,No concerns
No,I don't know from the government,Corona virus infection fear
Somewhat,Because I worries about covid 19,Social distancing
No,Lack resources,It is good for schools to open but calendar need to be revised.
No,Lack of resources,We need schools to open
No,Because no radio,I need the schools to open
No,Because no radio,We need schools to open
Yes,Partners will support ,We need school to open
No,No radio,It for the schools to open
Yes,Because partners may help to provide materials,It is good for schools to open
No,No resources,R lessons to continue untill when we are free from corona virus
No,Lack of radio,I need school to open to continue my studies
Yes,Parent wand partners will support us with materials for protection,We need school to open
Yes,There are measure s training to us by UNICEF,Children need to come back to benefit from direct classes
Yes,Because we learned the measure of safety,If the disease outbreak reduces it is find to get School reopen
Yes,We shall follow covoid_19 prevention measures,Learning will be more easier than at home
No,I didn't attend the training,Staying without learning is not good
Yes,We safe and conducive environment ,We need FM at the school level
Yes,Our school environment is conducive,We need schools to be reopen
Yes,It is always child center and conducive,I think the time is short because oln three months remain
Yes,The school environment is safe and child center ,We need these three months to reopen schools
Yes,"We need mouth masks,we need FM signals in our county ",We need schools to be reopen and FM signals
Yes,We shall use wash facilities at the school level and observe covid-19 preventive order,We need schools to be reopen
Yes,Our school is safe and ready to observe covid-19 rules,We need schools to be reopen so that the students gain knowledge
Yes,The school environment is conducive and child center,"FM, reopen schools"
Yes,The covid-19 rules are to be observed,We mouth masks and follow covid-19 rules
Yes,We have conducive environment and our school shall observe the covid-19 rules,We need FM station
No,To keep the measures in place ,School is very important for children especially girls 
Yes,To avoid the sickness ,To complete my p8 
Yes,To avoid physical contact ,We want the schools to reopen becouse all the children are spoiled ar home 
Yes,Teachers are professionals ,Am already preparing for the opening of the schools 
Yes,"because  to  protect, ourselves   from  Corona. ","I will  be  happy  indeed  to resume  my study  again .
"
Yes,for  our safty,good to resume  school. 
Yes,why not,I would be  happy 
Yes,good  for  us,I  like  school  to open
Yes,it  is  good for our  safty,good
Yes,school  is good  than  stay idol at home.,good
Yes,for  our  safty.,good 
Yes,good ,I wish  schools  to be open soon.
Yes,why not,it  will be good 
Yes,for our safety , good
Yes,we  better  keep  all measures  to continue  our study. ,better 
Yes,it  is  better  for  pupils  to be safe,I  want  to go back school  this year.  next year is far.
Yes,I enjoy ,it is good 
Yes,for  our  safty,it  will be  good 
Yes,keep  learning  environments   ,"I want  school reopen,  because  we are now going  forget  a lots things.  "
Yes,keep   ourselves  safe from  disease.,it  good  
Yes,Good learning space,For children to learn
Yes,Social distance,Children to learn more
Yes,Social distance ,Children to learn more
Yes,Social distance,Children to learn more
Yes,Keep social distance,Learn more 
Yes,Keep social distance,Children to learn more
Somewhat,No radio station in cueibet,To be taught
Yes,Keep social distance,To learn more
Yes,Keep social distance,To learn more
Somewhat,To be taught,To learn more 
Yes,Keep social distance,To learn more
Yes,Keep social distance,Children to learn
Yes,Keep social distance,To learn more
Somewhat,Keep social distance ,To learn more about.
Yes,Keep social distance distance,Am going to learn more
Somewhat,Keep social distance,To learn
Yes,Learn more, Good knowledge
,,
,,
,,
Yes,to back  to school. ,it will be  good for  our children. 
Yes,for  safe of environment  for  pupils., I want  they children  to go back  to school. 
Yes,keep they safety of  our children ,it  will be  good 
Yes,School is important,Our children must be educated
Yes,for  the safety of  our  childrens in school. ,"I  want  the school  to be  open,  let  our children's  resume  their study.  
"
Somewhat,Our children are eager to go to school,Our children are going to spoiled
Yes,we must do all  requirements  to let  our  children   study again   in school.,I will be happy  
Yes,Because all classes are there,Coronavirus
Yes,for safety  of  our children. ,we  want  school   to open.  so that  our children   should  go  back  to school. 
Yes,it  is protection  for  our children .,it is good for  our  chlidren  to return   to school. 
Yes,for  the safety of children ,is  good for  children  to come to  school  continue  their  study. 
Yes,safty,good
Yes,Because our school compound is clean,Covid-19
Yes,Our school is near,Coronavirus
,,
Yes,Because my house is near the school,Coronavirus disease
Yes,Because I want learn,Coronavirus pandemic
No,Coronavirus pandemic,Pregnancy girls
,,
Yes,Our school compound is clean,Coronavirus
,,
Yes,Because the school is important,Coronavirus
,,
No,I need to go back to school,Coronavirus pandemic
Yes,Upper primary classes can be encouraged to buy face masks but lower primary may not be possible.,There is no water in the school currently because the borehole we have is broken and has not been repaired.
No,We can not afford face mask and other health facilities.,Schools can re-open and we will be able to advise our children to keep distance.
No,School has no capacity to pupils but we need schools be re-open.,One year may pass without lessons that means I will repeat the same class next year.
No, I don't know whether they will put measures in place or not.,None
No,No,No
Yes,Good security will be provided,"Construction of classroom for learner's,provisin of learning and teaching materials"
Yes,Teaching will resume,School uniform and learning materials
Yes,PTA are committed to support our school,Provision of learning materials and uniform and food for school
No,"
Insecurity sometime",Contribution to the development of school
Yes, we  will  make  sure  to put all measures   in place. ,is good
Yes,why not,is fine  for us to back school 
Yes,Contribute for the development of school,I will tell my children to go to school
Yes,Teaching will begin immediately because learner's need to be to be educated,Ready to go to school
Yes,I will resume to attend school regularly,Classroom should be constructed by community and government
Yes,"Provide food,water point and classroom for all the level","Uniform,shoes,school bag and sanitary pads to protect menstruation period during school hours"
Yes,Teachers get prepared to teach pupils,Learning materials should be provided by parents
Yes,"I will provide uniform, shoes, sanitary pads for my daughter",I will contribute for the school development
Yes,Construction of classroom and provision of learning and teaching materials,"My concern are text book, uniform and protect ion by parents"
Yes,Teachers will resume teaching,I will continue to go to school
Yes,Teaching will begin soon by our teachers,I will go to school when they reopen school
No,I'm not sure weather they will do it better,"I need to be provided with uniform, sanitary pads and all the learning materials"
Yes,Teachers will resume teaching,I will take my children back to school
No,"I,m not aware about the program",I will send my children to school when school are reopen
No,Don't know,"I,m ready to school"
Yes,Protection of children from harm and desease like coran viruses,I will send my children to school when school reopen
Yes,From harm and corana viruses,"I need to be provided with uniform, learning and teaching materials"
Yes,"Yes,PTA will contribute for the development of school","I,m ready to send my children to the school when schools are reopen"
Yes,Chicken will be informed to come back to school when school are reooen,community will be ready to send theirs children to school when government reopen school
Yes,why not,is very  good  with me.
Yes,to ensure all measures  in place ,I will be  very happy  indeed  if school  is open.
,,
No,The enrollment is very big,It's good so that I move to the next class
No,The school has no capacity to acquire facilities for fighting Corona,It's late for school to reopen this year
Yes,We support from NGO,I wish schools to open because most of students are now pregnant
Somewhat,I don't know,We need the school to be open
No,The school has no capacity,It's good so that i go to the next class
Somewhat,I'm not sure,Children should be given chance to study
,,
,,
,,
,,
,,
,,
,,
,,
,,
Yes,To prevent the spread of Corona virus,It's important in order to continue learning and create conducive environment
Somewhat,I am not a student,I wish schools to open soon
Somewhat,I'm not sure,I need our school to be open
Somewhat,I'm not sure,Ok
Yes,It is good to stay in a safe environment,Let schools open
Yes,The is what we used to do,Let schools open
Yes,We like to stay in a safe environment,Let schools open
Yes,It is good to stay in a healthy environment,Let schools open
Yes,This is how our school used to be,Let schools open
Yes,Be be healthy,Let schools open
Yes,To have conducive environment,Let schools open
Yes,To be healthy,Let schools open
No,I don't know,Let schools open
No,I don't know,Let schools open
No,I don't know,Let schools open
No,I don't know,Let the schools open so that my kids can resume thier studies
No,I don't know,Let schools open
No,I don't know,Let schools open
No,I don't,Let government reopen schools
Yes,It is mandate as PTA members,Let the schools reopen
No,I don't know,Let the school reopen
Yes,It is good to learn in a safe learning environment,Let schools reopen
No,I don't know,Let the government reopen schools
No,I don't know,Let the government reopen schools
Yes,"We us the PTA members will make sure, the school is in a safe environment",Let schools reopen
Yes,It our mandate as teachers,"Let schools reopen, so that teaching and learning can continue"
Somewhat,I'm not sure,I wish the schools to open soon
Yes,I don't have radio at home.,I will be going to school when reopen again.
No,Beacuse of cronavirus Pandemic.,Iam ready to go back to school.
No,We do container for washing hands.,Jam very ready to go back to school.
,,
,,
,,
,,
,,
No,Beacuse we don't have radio.,Iam ready for school now
No,We don't have washing facility in the school.,We need the school to reopen.
No,The school is lacking measure against cronavirus.,School should reopen so that children may continue with their education.
,,
Somewhat,I am not a teacher,I wish schools to be open soon
,,
Yes,Parent will support school,We need shools to open
Yes,Because of community and partners support,We need schools to open
Yes,To keep the instructions ,Our children are getting spoils 
No,I don't know ,Must be reopen 
No,I don't know,To get knowledge
Somewhat,I don't know ,Is should be reopen 
Yes,I don't know ,To get knowledge 
Yes,To follow the instructions ,To get back to classes 
No,I don't know ,To get more knowledge 
No,Because I really don't know ,Am praying to God let Corona go away so that schools should open 
Yes,Because to avoid affection from any air borne disease through hygiene maintenance ,I want to return to school to build my capacity 
Yes,To improve the education ,To cover the syllabus 
No,Because I don't think ,To catch up in learning 
Yes,Because to avoid the contact ,I need to improve my skills 
Yes,To avoid spread of Corona ,To build my skills 
No,I doubt ,Schools must open as soon as possible 
Yes,Because we are too many in school so safe environment must be provided to avoid any affection of Corona,I want school to be open to improve my skills
Yes,Because to avoid easy spread of Corona ,I want school to open so that I learn more 
,,
Yes,Becz prevent the learners from being affecting each other from air born deceases,Schools must be open as soon as possible
,,
Yes,Provide protect measures.,Schools should reopen.
No,Because it's too bush,Government should reopen schools
Yes,It bush ,Government should reopen schools
Yes,Stay  at home stay safe,Schools should reopen
No,Because it's too Bush,Government should reopen schools
No,Because it's too Bush,Government should reopen schools
Yes,Because it's too heard to get them,Government should reopen schools
Yes,Clean around school company,Reopen schools by the government
Yes,Because it's heard to get them,Government should reopen schools
No,Because it too busy,Government should reopen schools
No,Because schools are to busy,Government should reopen schools
No,Because it helped learners to remembered their lessons,Government should reopen schools
No,Because it's too Bush,Reopen schools by the government
No,School should be clean first,Reopen of schools is what I want
Yes,To avoid Corona ,I want the schools to open so that our kids mind get open and change 
Yes,Just need clean around school company,Reopen schools by the government
Yes,Because we are too many ,I schools to open for easy learning and understanding 
No,I doubt ,Schools must open for our kids to avoid poor understanding 
Yes,Because school is too Bush,Government should reopen school
No,Because it's too bush  need cleaning around,Government should reopen 
No,Because school is too bush,Government should reopen schools
No,Schools are too bush,Government should reopen schools
No,Because schools are to bush,Government should reopen schools
No,Because schools are too bush,Government should reopen schools
No,Because schools are too bush,Reopen of schools by the government
No,Clearness should be down first,Reopen of schools by the government
Yes,Clean around,Government should reopen the schools
No,Because school need cleaning around school company,Government should reopen schools
No,Our school is Bush,Government should reopen for us schools
,,
No,Because schools is too Bush,Government should reopen schools
No,Because schools are too bush,Government should reopen schools
No,It need cleaning around school company,Government should reopen schools
No,Our school is dirty,Government should reopen schools
,,
No,Because our school is too bush need cleaning around,Government should reopen schools
Yes,Our is Bush,Government should reopen for us schools
Yes,Because it's too Bush,Government should reopen school
No,Clean around school company,Government should reopen schools
,,
Yes,Clean around school company,Government should reopen school to maintain at school
Yes,To avoid spread of Corona ,I hate staying at home I want schools to open as soon as possible 
,,
Yes,For safety learning ,To avoid boredom at home 
Yes,Provide safe leanering space.,Schools lesson is better than radio lessons.
Yes,To avoid spread of Corona easly,Am just praying schools to open 
,,
Yes,To avoid spread of Corona ,To go back to school so that I understand and move forward 
No,Clean around school company,Government should reopen schools
No,I don't know ,I want to be in school better than home 
Yes,Cleaning around school company,Government should reopen schools
No,I don't know ,I want school to be open as soon as possible to help me to build my skills 
Yes,Clean around school company,Government should reopen schools
No,Because it's too Bush,Government should reopen schools
No,School should be clean first,Reopen of school by the government
No,I doubt ,Since am candidate school must open 
No,Because it's too Bush ,Government should reopen schools
No,Because it's too Bush,Reopen of school's
No,Because it's too Bush,Government should reopen schools
No,Because school is too Bush,Reopen of schools by government
Yes,Provide learners with more radio,Government should reopens
No,I don't think ,I need to go to school as soon as possible to build my skills 
Yes,Because children too many for easy spread of Corona ,Continue with their learning 
No,I don't think ,To improve my skills 
No,I don't think ,To improve on their performance 
No,I don't think ,To improve their performance and ability 
No,I doubt ,Schools need to open to improve and change our kids 
No,I don't know ,I want to return to school so that to learn more 
No,I don't know ,I want to return to school for learning more 
No,I don't know,To improve their learning skills
Yes,Our school is in safe environment,"We need the following
Masks
Soaps"
Yes,It is safe and always welcome,We need only mouth masks to prevent covid-19
Yes,We are to follow the covid-19 measures ,We need return to school because the time cannot wait
No,I will be busy in the school,I waiting for the school to open
Yes,We have everything ready and out environment is conducive,Masks and WASH facilities are to be ready
Yes,Our school is safe and always welcoming,We need FM signals in the school
Somewhat,I'm not a teacher,I am just waiting for the school to open
Somewhat,I am not sure,Let the school to be open with preventive measure
,,
Yes,Because its better to prevent your self,"Facemask,social distancing"
Yes,Cov-19 protocol to be observe,"More facemask,hand gloves,hand sanitizer"
Yes,"Facemask,hand washing soap",I need school to safe for learning
Yes,Preventive measure to be observe,"Need of face mask,hand soap"
Yes,No corona virus preading,Preventive measure to in place
Yes,Preventive measures to be put in place,"Face mask,hand sanitizer"
Yes,All corona virus preventive measure to be observe,"Face mask,hand Washing soap"
Yes,Hand Washing facility to available,"Face mask,washing soap"
Yes,Some will learn in the afternoon,"Classes to increase,clean latrine"
Yes,Hand washing facility,Poor hygiene
Yes,Good hygiene in school,"Clean latrines,hand washing facility"
Yes,Classroom safety and keep whole school environment clean,Helping children to prepare them selves for learning and social distancing observation
Yes,By encouraging them to learn,My concern is quality learning
Yes,I must make sure the school environment is clean and safe,"I must make sure that, there's safety environment for learning"
Yes,"As I'm community member, I will let all students go back to school for learning",I will tell the teachers and learners about social distancing
Somewhat,Encourage students to be  expressive in the school,Encourage all students to go back for learning
Yes,Informing all the community members about re_opening of the school,By making sure that the school environment is safe for learning
Yes,Cleaning the school compound,Meeting with all the community
No,I'm not sure on what to be done to make safe learning environment,My concern is to let all students go back to school
Yes,Safe learning environment,Cleaning of the school compound everyday
Yes,Security of the school area,Cleaning of school environment
Yes,Good environment for learning,Classroom arrangement
Yes,General cleaning of the school environment,Learning all subjects
Yes,I'm ready for learning,Learning all subjects
No,NH,It will help us to keep our pupils busy 
Yes,We are having hand washing facility in school,My concern is to go back to school
No,I doubt ,Schools must open as soon as possible to finish our lessons and level 
Somewhat,Yes the school will be having safe environment in place,My concern is to learn
No,I don't know,I want to go back to learning at school
Yes,We can help the school to Ensure the safety of the childern in school,My concern is my childern they return back to the school
Yes,We will follow the preventive measure,It will help pupils on learning process
Yes,I want to learn,My concern is Education or to learn
Yes,School have safety measure,School needs to be open
Yes,School will be having measure in place,Is to learn
Yes,We can help the teachers in school,My concern is that all childern go to school
Yes,We can support the teachers  for the safety of the school,Learning
Yes,I think school will have safety measure in place,Childern to learn
Yes,Because our teachers knows all the measures,Learning
Yes,To avoid close contact for infection of Corona ,Schools must be open for easy learning 
No,I doubt ,I want schools to open so that child gets knowledge and build her skills 
Yes,Social distancing must be mantained,Many learners are not engaged when they are not in school
No,I really don't know ,Yes to avoid weak reasoning 
No,I doubt ,To improve their future 
Yes,To improve hygiene ,We need school to open that's all 
No,I don't know ,I need school to open 
No,I don't think ,I need schools to open so that I go ahead 
,,
No,I don't know ,I want school to open so that I move to other classes 
No,I don't know ,To move to other levels 
No,I don't know ,I really want school to open so that I move ahead 
,,
No,I don't know ,I need schools to open my kids to updated their learning skills 
No,I don't know ,To improve my understanding and level 
,,
,,
Yes,Social distancing rules should be put in place,Very happy to come back to school
Yes,it  is  because  for  our  safty ,am concerning    to continue   my  study 
Yes,Social distancing,Very happy to hear that
,,
Yes,Wash facilities should be provided,The schools must be reopen
No,I don't know ,I want to go back to school so that I move forward 
No,I don't know ,I want school to open so that I see my wife getting good improvement in her skills 
No,I doubt ,I really want schools to open so that I finish 
No,I really don't know ,Schools must open as soon as possible 
No,I don't know ,I need schools to open to improve and keep my children and my wife to have good skills 
No,I doubt ,I need to move to other levels and finish 
No,I don't think ,I want to be in school 
No,I don't know ,I want schools to open so that my children are able to get enough knowledge 
No,I doubt ,I want schools to open soon to avoid being lazy and dall
No,I don't know ,I want schools to open so that I finish 
No,I don't think ,Schools must open to improve their skills 
No,I don't know ,I want schools to open so that I finish 
No,I don't know ,I want to go to school home is not good always 
Yes,Because I want to learn,Coronavirus
Yes,Iam eager to go to school,Covid-19 prevention
Yes, we school  to be open,we want school  open again 
Yes,for  our safty ,is good 
Yes,to  ensure  all measures  are put in place. ,is  good  to return  school 
Yes, for  our safty , it  is   good 
Yes,Because every thing will working,Going to learn
Yes,Because to protect from covid -19,I like so much 
Yes,Because we to be protected from corona virus ,"Hand washing ,facemask "
Yes,Because to be protected from can vid-19," Facemasks ,hand washing  and social distancing "
Yes,Because not to be infected by corona virus ,",facemasks hand washing facility "
Yes,Because not to be infected by corona virus ,"Distributing face masks ,hand washing facility "
Yes,Because to be from covid 19 ,"Hand washing facility ,face masks "
Yes,Because the covid -19 will affected learners ,"Face masks ,hand washing facility "
Yes,Because we will not be infected by corona virus,"Hand washing soap ,facemasks ,"
Yes,Because we do not want to be infected by corona virus,"Hand washing soap ,water ,face masks "
Yes,Because of Corina virus ," face masks ,hand washing facility ,soap "
Yes,Because of corona virus ," Distributing facemasks ,hand washing facility "
Yes,Because to avoid corona virus ,"Facemasks ,hand washing facility "
,,
,,
,,
Somewhat,In the school we are missing more things.,I only like when the school  reopen such thay we continue lsarning
No,"Because we don,t have water, toilets, hand washing facility",Am thinking of reopening to protect us frim criminology and continuelearning
,,
,,
,,
,,
No,I don't know,Corona virus fear
No,Because I don't know what the government will put in place to make school open,Corona virus
No,I don't know,No concerns
No,I don't know,Corona virus infection
No,I don't know,Corona virus infection fear for the learner's
No,I don't know,Corona virus fear
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Yes,All learners have an interest to go back to school,I wish the schools to open as soon as possible
Yes,Schools will be back in full operation,Opening of schools
,,
Yes,Set some laws to ensure that the environment are safe for the learners,Safe environment
,,
Somewhat,Learners have no interest in education,The schools to open
No,No time for the schools to open again,The schools to open next year
No,I don't know,The schools to open
,,
Somewhat,Because it's very late for the schools to open,Next year
,,
No,Yes,No concerns
,,
No,Set some laws for the learners,No concerns
,,
,,
No,I don't know,No concerns
,,
No,I don't know,No concerns
Yes,Security should be in places,No comment
Somewhat,it's because our school luck some of  measure things,my concern is to learn
Somewhat,it help the my chidern to control them,repen the school can help us
Yes,"because we have measure in places 
",Is to learn 
Somewhat,Why it's because school have the measure of covid_ 19 in place,My concern school need to be open 
Yes,hand washing facility we have it in our school,I need to go back to school that is my concern only
Yes,We help the school for measure facility ,We need children to return back to school
Somewhat,Learn environment is safe,is to learn
Somewhat,The school is safe,My concern is to learn
Somewhat,School is safe,My concern is to learn
Somewhat,Learning,Need school to be open
No,We are not sure ,We need my children to go back to school
Yes,Because the school has to be concerned about the safety of their children,I think the schools have to open because many girls are getting pregnant and many boys are getting spoilt
No,Because  they say they have no money,It's better to be in school because many housework interfere with someone 'studies
No,I don't know ,Let schools open let our children go to school 
No,I don't know ,It's good to be in school because too much work at home you can not concentrate on books. 
No,I don't know ,The children are just loitering let school open to keep them busy
No,I don't think they will ,It good for children to be in school 
No,I don't know what the schools thinks,I wonder if schools will ever be opened again. Many are getting spoilt at home by their friends. 
Somewhat,I don't know ,"Our children need education,  they can not continue living life this. "
Somewhat,I am not sure if they will ,Let children go to school and learn. 
No,I don't know ,It's not good that schools should stay closed for longer time like this. 
No,Because I don't know the plans of the school authorities ,I am most worried about my future studies  as to what next since CORONA is not going to go away very soon. 
No,I don't know what the school plans ,In fact I am very tired of being at home. I want schools to open. 
Somewhat,I'm not sure,Schools should be open
Yes,It is always safe and conducive,"We require the following
1 FM signal
2 Network and
3 Sale schools to be reopen"
Yes,Our school has all materials,We our school children can go back to school
Yes,Materials are there for learning,I ask the government and NGOs to reopen schools
Yes,We shall follow covid-19 rules,We need FM signals that can help and we need government to support the teachers so that we are taught well
Yes,We safe environment to all pupils,"We need the following
1 FM 
2 Network and 
3 All schools to be reopen"
Yes,Our kids are in safe environment,We need schools to be reopen
Yes,We have all the materials available,We need covid-19 preventive measures to be observed and follow
Yes,We have materials available and the environment is conducive to all pupils,We need schools to be reopen so that children should be engaged in learning program
Yes,It is always conducive to all learners both disable and not disable,We need all the schools to be reopen and if possible we can request for FM signals and Network
Yes,Our school is safe for all students,We need FM station and Network
Yes,We safe environment in our school,All children can come back to school and stop playing and roaming around
Yes,Our school is safe and conducive to all learners,We have to keep social distancing and observe other covid-19 order
Yes,Our school is safe to all our children,Our kids are playful they need to get back to school
Yes,Our school is safe and conducive for children to learn,We need FM signals
Yes,All materials are available,We need all our children to get back to school
Yes,It is very conducive and child center,We need government and NGOs to reopen schools then we get back to school
Yes,We have safe and conducive environment,We need schools to be reopen and teachers get pay the NGOS or government
Yes,Our school is always safe and conducive,To have FM signals in Koch town
Yes,We have enough school environment which is conducive and child center,We need soaps and all wash facilities
Yes,It is conducive,"We request for FM, Network and reopen all schools"
Yes,The risks of COVID19 is known to everyone,We are wishing for the reopening the school
Yes,Provision of washing facilities in the school,The learners are missing a lot things
Yes,Prevention because the the deadly disease,For the learners to get education
,,
,,
,,
Yes,It disease may catch the learners,I am willing for the school to get reopen
,,
Yes,Because the teachers are in school to assist us,The government should reopen the school
No,I don't know,Let schools reopen
No,Because there are no preventive measures in the school,To continue with our studies at the right time
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
Yes,Teachers will follow the instructions,To continue my studies
,,
No,I don't get any training for covid_19,To continue my education
,,
Somewhat,I don't know,To continue with education
Somewhat,I don't know,To continue with education
,,
Yes,Through teachers,To continue with education
,,
Somewhat,I don't know,To continue with education
No,I don't know,To continue with education
,,
,,
Somewhat,I don't know,To continue with education
Somewhat,I don't know,To continue with education
,,
,,
Yes,Teachers know that,To continue with education
,,
No,I don't know,To continue with education
Yes,Because they know the risk and dangerous of the disease,To continue my studies
,,
,,
,,
,,
,,
,,
,,
Somewhat,To keep the measures in place ,To let the children get educated 
,,
,,
,,
,,
,,
,,
No,Because some school have no Wash facilities,I need my children to learn
Yes,The school administration will ensure that the Wash facilities are in place,I need to go back to school
Yes,The school administration will ensure that the facilities are put in the school,I need to learn
,,
Yes,The school administration will ensure that the safety of the learners is put in the school,It is good for my children to go back to school
No,I don't know if they have any facilities in the school,The future of the children is education
Yes,The school administration will ensure that the learners and teachers safety is put in place,I need to get back to school to learn
No,I am not sure about the school measures,I need to go back to school
Yes,The school administration will ensure the safety of the learners and teachers in the school,Children are missing a lot things which are supposed to be done in the school
No,I am not sure about the measures,Many children are spoiling let the schools be reopened
Yes,The school administration will ensure the safety of the learners,I am willing to go back to school
Yes,The school administration will ensure that the safety of the learners are in place,I need to go back to school
Yes,The school administration will ensure the safety of the learners and teachers in the school,Children need to go back to school
,,
,,
Yes,The school administration will ensure the safety of the learners,Children need to go back to school
No,I don't know if the school has the facilities,Children will go to school
Yes,The school administration will ensure the safety of the learners by providing the facilities,I am willing to go back to school
Yes,The school administration will ensure the safety of the learners,I am need to go back to school
Yes,The school administration will ensure the safety of the learners in the school,I am willing to go back to school
Yes,The school administration will ensure the safety of the learners,I am willing to go back to school because I am missing a lot of things
Yes,We are trained on how to protect ourselves,To go back to normal learning
Yes,We know the measure,School should open at the time needed
Yes,We are trained,Delaying the syllabus
Yes,We got trained,Resume proper learning
Yes,We know the measures,Good to go back to school
Yes,Measures were taught,I want reopen
Yes,They trained us,Going back to school is important
Yes,They trained us about safety measures,Of a great concern
Yes,We had been taught about it,Very good
Yes,We are trained about safety measures,Kick progress of direct learning good
Yes,We got trained about it,Good lessons come from direct teaching
Yes,We are trained,Going back to school is needed
Yes,They did  measures training,I am so concerned about direct learning
Yes,Because we got trained,I need to go back to school
Yes,We are trained on safety measures,Schools should be opened
Yes,The school administration will ensure the safety of the learners in the school,I am willing to go back to school because I am missing
Yes,The school administration will ensure the safety of the learners in the school,I am willing to go back to school because I am missing a lot of things
Yes,The school administration will ensure the safety of the learners in the school,I am willing to go back to school because I am missing a lot of things
Yes,The school administration will ensure the safety of the learners in the school,I am missing a lot of things
Yes,The school administration will ensure the safety of the learners in school,I need to go back to school
Yes,The school administration will ensure the safety of the learners in school,I am willing to go back to school because I am missing a lot of things
Yes,They carried out some awareness about prevention measures,Children need to go back to school as soon as possible
Yes,to keep  our  learning  environments  safe  for   us.,is  good 
Yes,to ensure  our safty ,"is  good,  because  now  we staying  idol  at home. "
,,
,,
,,
Yes,They trained students about preventive measures,Let school get open
Yes,Health measures are taught,My concrn is to let us know the opening date
Yes,There are facilities in the school to support us make the school a better environment for learning.,To me the school needs to be opened so that learners should not continue to get spoiled.
No,Fear of being congested and lack of keeping social distance will not make the environment conducive enough for learning.,Àm very ready and if possible the school should reopen soon.
Yes,Children will start by clearing the compound which will make it clean.,I wish I could go next week so that I build on what I have learned in the radio lessons.
Yes,To keep school environment clean.,To study hard.
Yes,To keep school safe place for learning.,To be taught and study hard.
Yes,"Constant teaching
Installation of hand washing facility",Schools must open 
Yes,Following preventive measures,In order to continue with my studies and follow preventive measures.
Yes,Because in our school we have hand washing facilities,Construction of more classrooms to reduce over crowded.
Yes,We have hand washing facilities.,School administration should build more classrooms.
Somewhat,We have no more classrooms,Construction of more classrooms
Somewhat,School maybe crowded,Put the measures in place to protect the children be from coronavirus.
Yes,for  our safety ,is  good 
Yes,it  is  good   ensure  our safty , is  good  for me.
,,
,,
Yes,school is closed ,wants schools open 
,,
Yes,Yes we must measures in because of Covid 19,Fear of the spread of Covid 19
Yes,Because of Covid 19 concern,We want to so that our children are taught
Somewhat,We will have some measures in place to avoid infection of Covid 19,People are likely to be infected with Covid 19
Somewhat,We may need some washing facilities to avoid infection of Covid 19,No concern
Yes,Hand washing facility,Measure to be in place
Yes,Good hygiene to be put in place,"Face mask,hand washing soap"
Yes,Enough hand facility to be put in place,"Face mask,hand gloves"
Yes,Hand washing facility to be in place,Measure are to be put in place
Yes,Hand washing facility,Classes to be infected first
Yes,Preventive measure to be in place,I want to complete my senior four
Yes,"Face mask,wash facility",Preventive measure to be put in place
Yes,Preventive measure face mask hand sanitizer,I need to complete my high school
Yes,Face mask hand washing facility,Solar lamp for reading
Yes,Face mask hand washing facility,Preventive measure to be put in place
Yes,Face mask hand washing facility,I need safe environment
Yes,Face mask hand washing facility,I need school to be safe
Yes,Hand washing soap,I need school to provide face mask to all students
Yes,Hand washing facility,I need school to have good hygiene for children to be safe
Yes,All preventive measure to be put in place to ensure safety for learners,School to provide all necessary measure
Yes,All necessary measure to be in place,I need school to have hand washing facility
Yes,Face mask to be given to all learners,School to provide enough hand washing facility
Yes,Preventive measure to be in place,I need school to good hygiene
Yes,"Social distancing,face mask washing hands",I want to sit examination this year
Yes,"Social distancing,face mask",Clean and safe environment
Yes,"Face mask,hand washing soaps",I want school and partner to put all measures in place
Yes,Social distancing face mask,Safe environment
Yes,Face mask hand sanitizer,Social distancing
Yes,There was an awareness conducted by UN safety measures,The schools are supposed resume for learning
Yes,They apply safety measures,There is great need for learning to start now because children playing too much
Somewhat,They should apply necessary measures for safety,The schools management should increase strategies for disease prevention
Yes,Trained about safety measures,We need schools to open
No,I don't know,Let schools reopen
Yes,It is good for learning,Let the schools open
No,I don't know,Let schools e
No,I don't know,Let schools reopen
Yes,We like to stay in a healthy environment,We want the schools to reopen
Yes,The school will have enough learning space and washing facilities,We want to resume our studies
No,I don't know,Let schools reopen
Yes,The school will make sure the school safe environment for learning,Let schools reopen
Yes,It is good for learning,Let schools reopen
No,I don't know,Let schools reopen
No,I don't know,Let schools reopen
No,I don't know,Let schools reopen
No,I don't know,Let schools reopen
No,I don't know,Let schools reopen so that my kids are back for learning
No,I will be busy in the school,I wish the school should be open
No,Because I like reading,I wish the school to open
Yes,Because we have a plan to make learners sit one metre away from each other when school re open.,"COVID 19 is the obstacle to returning to school,  so if it is put to control I would like schools to open. "
